monosyllabic	sounds_quality
мук				S	<NUCL>	O		
мулк				S	<NUCL>	S	O	
мур				S	<NUCL>	S		
мут				S	<NUCL>	O		
муф				S	<NUCL>	O		
на				S	<NUCL>			
на				S	<NUCL>			
над				S	<NUCL>	O		
нај				S	<NUCL>	S		
нам				S	<NUCL>	S		
нар				S	<NUCL>	S		
нас				S	<NUCL>	O		
наш				S	<NUCL>	O		
не				S	<NUCL>			
нѐ				S	<NUCL>			
нем				S	<NUCL>	S		
нем				S	<NUCL>	S		
нерв				S	<NUCL>	S	O	
ни				S	<NUCL>			
ни				S	<NUCL>			
ни				S	<NUCL>			
ни				S	<NUCL>			
ни				S	<NUCL>			
ни				S	<NUCL>			
нив				S	<NUCL>	O		
ниж				S	<NUCL>	O		
низ				S	<NUCL>	O		
ним				S	<NUCL>	S		
но				S	<NUCL>			
но				S	<NUCL>			
нов				S	<NUCL>	O		
нож				S	<NUCL>	O		
ној				S	<NUCL>	S		
нор				S	<NUCL>	S		
нос				S	<NUCL>	O		
ноќ				S	<NUCL>	O		
о					<NUCL>			
од					<NUCL>	O		
од					<NUCL>	O		
ом					<NUCL>	S		
он					<NUCL>	S		
општ					<NUCL>	O	O	O
па				O	<NUCL>			
па				O	<NUCL>			
па				O	<NUCL>			
паб				O	<NUCL>	O		
пад				O	<NUCL>	O		
паж				O	<NUCL>	O		
пај				O	<NUCL>	S		
пак				O	<NUCL>	O		
пак				O	<NUCL>	O		
пак				O	<NUCL>	O		
пак				O	<NUCL>	O		
пакт				O	<NUCL>	O	O	
пан				O	<NUCL>	S		
панк				O	<NUCL>	S	O	
пар				O	<NUCL>	S		
парк				O	<NUCL>	S	O	
пас				O	<NUCL>	O		
пат				O	<NUCL>	O		
пеј				O	<NUCL>	S		
пек				O	<NUCL>	O		
пелц				O	<NUCL>	S	O	
пен				O	<NUCL>	S		
пер				O	<NUCL>	S		
пес				O	<NUCL>	O		
пет				O	<NUCL>	O		
пет				O	<NUCL>	O		
пех				O	<NUCL>	O		
пеш				O	<NUCL>	O		
пеш				O	<NUCL>	O		
пеш				O	<NUCL>	O		
пешт				O	<NUCL>	O	O	
пив				O	<NUCL>	O		
пик				O	<NUCL>	O		
пин				O	<NUCL>	S		
пип				O	<NUCL>	O		
пир				O	<NUCL>	S		
пирг				O	<NUCL>	S	O	
пис				O	<NUCL>	O		
пис				O	<NUCL>	O		
пјат			O	S	<NUCL>	O		
плав			O	S	<NUCL>	O		
плаз			O	S	<NUCL>	O		
плак			O	S	<NUCL>	O		
плам			O	S	<NUCL>	S		
план			O	S	<NUCL>	S		
пласт			O	S	<NUCL>	O	O	
плат			O	S	<NUCL>	O		
плах			O	S	<NUCL>	O		
плац			O	S	<NUCL>	O		
плач			O	S	<NUCL>	O		
плашт			O	S	<NUCL>	O	O	
плен			O	S	<NUCL>	S		
плет			O	S	<NUCL>	O		
плех			O	S	<NUCL>	O		
плик			O	S	<NUCL>	O		
плин			O	S	<NUCL>	S		
плит			O	S	<NUCL>	O		
плиш			O	S	<NUCL>	O		
плод			O	S	<NUCL>	O		
плот			O	S	<NUCL>	O		
плот			O	S	<NUCL>	O		
плошт			O	S	<NUCL>	O	O	
плуг			O	S	<NUCL>	O		
плус			O	S	<NUCL>	O		
плус			O	S	<NUCL>	O		
по				O	<NUCL>			
по				O	<NUCL>			
под				O	<NUCL>	O		
под				O	<NUCL>	O		
под				O	<NUCL>	O		
под				O	<NUCL>	O		
пој				O	<NUCL>	S		
пол				O	<NUCL>	S		
пол				O	<NUCL>	S		
полв				O	<NUCL>	S	O	
полк				O	<NUCL>	S	O	
поп				O	<NUCL>	O		
поп				O	<NUCL>	O		
пор				O	<NUCL>	S		
порт				O	<NUCL>	S	O	
пост				O	<NUCL>	O	O	
пост				O	<NUCL>	O	O	
пот				O	<NUCL>	O		
прав			O	S	<NUCL>	O		
прав			O	S	<NUCL>	O		
праг			O	S	<NUCL>	O		
праз			O	S	<NUCL>	O		
